TABLE_NAME;LOCAL_FIELD;REMOTE_FIELD;DATA_TYPE;FIELD_LENGTH;ACTIVE;FIELD_DEFINITION;VENDOR_ID;UNIT;TYPE_AGGREGATE;DATE_AGGREGATE
CELLSTS_4G;INTRA_RAT_HO_IN_SUCC;C1526727255+C1526727258;NUMBER;12;1;L.HHO.IntraeNB.ExecSuccIn + L.HHO.IntereNB.ExecSuccIn;6;NULL;SUM;SUM
CELLSTS_4G;INTRA_RAT_HO_IN_ATT;C1526727254+C1526727257;NUMBER;12;1;L.HHO.IntraeNB.ExecAttIn + L.HHO.IntereNB.ExecAttIn;6;NULL;SUM;SUM
CELLSTS_4G;USER_DL_RMVLAST_TTI_TRAFF_VOL;C1526728261-C1526729005;NUMBER;12;1;L.Thrp.bits.DL - L.Thrp.bits.DL.LastTTI;6;NULL;SUM;SUM
CELLSTS_4G;USER_UL_RMV_SMLLPKT_TRAFF_VOL;C1526728259-C1526729415;NUMBER;12;1;L.Thrp.bits.UL - L.Thrp.bits.UE.UL.SmallPkt;6;NULL;SUM;SUM
CELLSTS_4G;FBAND_ID;FBAND_ID;NUMBER;12;1;NULL;6;NULL;NULL;NULL
CELLSTS_4G;L_RRC_SET_FAIL_RES_FAIL;C1526727083;NUMBER;12;1;L.RRC.SetupFail.ResFail;6;NULL;SUM;SUM
CELLSTS_4G;L_RRC_SET_FAIL_NO_REPLY;C1526727084;NUMBER;12;1;L.RRC.SetupFail.NoReply;6;NULL;SUM;SUM
CELLSTS_4G;L_RRC_SET_FAIL_REJ;C1526728269;NUMBER;12;1;L.RRC.SetupFail.Rej;6;NULL;SUM;SUM
CELLSTS_4G;L_RRC_SET_FAIL_RES_FAIL_SRS;C1526728485;NUMBER;12;1;L.RRC.SetupFail.ResFail.SRS;6;NULL;SUM;SUM
CELLSTS_4G;L_RRC_SET_FAIL_RES_FAIL_PUCCH;C1526728486;NUMBER;12;1;L.RRC.SetupFail.ResFail.PUCCH;6;NULL;SUM;SUM
CELLSTS_4G;L_RRC_CONN_REQ_MSG_FLOW_CTRL;C1526728489;NUMBER;12;1;L.RRC.ConnReq.Msg.disc.FlowCtrl;6;NULL;SUM;SUM
CELLSTS_4G;L_RRC_SET_FAIL_RES_FAIL_US;C1526729949;NUMBER;12;1;L.RRC.SetupFail.ResFail.UserSpec;6;NULL;SUM;SUM
CELLSTS_4G;L_RRC_SET_FAIL_REJ_FAIL_MME;C1526732044;NUMBER;12;1;L.RRC.SetupFail.Rej.MMEOverload;6;NULL;SUM;SUM
